nounId,nominative,genitive,transformationType,isSlender,syllableCount,nomSuffix,genSuffix,has ea
3060,"beiril","beirile","+e",true,2,"l","le","no"
3066,"beirt","beirte","+e",true,1,"t","te","no"
3068,"beirtreach","beirtrí","í",false,2,"reach","rí","yes"
3073,"beith","beithe","+e",true,1,"h","he","no"
3108,"béadchaint","béadchainte","+e",true,2,"t","te","no"
3114,"béalaithris","béalaithrise","+e",true,3,"s","se","no"
3120,"béalbhach","béalbhaí","aí",false,2,"ach","aí","no"
3130,"béalmhír","béalmhíre","+e",true,2,"r","re","no"
3133,"béalóg","béalóige","palatalized alt + e",false,2,"óg","óige","no"
3160,"béim","béime","+e",true,1,"m","me","no"
3175,"biabhóg","biabhóige","palatalized alt + e",false,2,"óg","óige","no"
3181,"bialann","bialainne","palatalized alt + e",false,2,"ann","ainne","no"
3195,"bigil","bigile","+e",true,2,"l","le","no"
3199,"bileog","bileoige","palatalized alt + e",false,2,"og","oige","no"
3207,"binb","binbe","+e",true,1,"b","be","no"
3211,"binid","binide","+e",true,2,"d","de","no"
3212,"binn","binne","+e",true,1,"n","ne","no"
3215,"binneog","binneoige","palatalized alt + e",false,2,"og","oige","no"
3271,"bithcheimic","bithcheimice","+e",true,3,"c","ce","no"
3278,"bitheog","bitheoige","palatalized alt + e",false,2,"og","oige","no"
3288,"bithghuais","bithghuaise","+e",true,2,"s","se","no"
3293,"bithmhais","bithmhaise","+e",true,2,"s","se","no"
3302,"bithshintéis","bithshintéise","+e",true,3,"s","se","no"
3306,"bitseach","bitsí","í",false,2,"seach","sí","yes"
3310,"bícéips","bícéipse","+e",true,2,"s","se","no"
3321,"bíog","bíge","palatalized alt + e",false,1,"íog","íge","no"
3325,"bíogarnach","bíogarnaí","aí",false,3,"ach","aí","no"
3333,"bíp","bípe","+e",true,1,"p","pe","no"
3334,"bís","bíse","+e",true,1,"s","se","no"
3350,"blagaid","blagaide","+e",true,2,"d","de","no"
3358,"blaisféim","blaisféime","+e",true,2,"m","me","no"
3365,"blaosc","blaoisce","palatalized alt + e",false,1,"osc","oisce","no"
3381,"blastóg","blastóige","palatalized alt + e",false,2,"óg","óige","no"
3394,"bláthach","bláthaí","aí",false,2,"ach","aí","no"
3399,"bláthfhleasc","bláthfhleisce","palatalized alt + e",false,2,"easc","eisce","yes"
3419,"bleaist","bleaiste","+e",true,1,"t","te","no"
3421,"bleathach","bleathaí","aí",false,2,"ach","aí","no"
3425,"bleib","bleibe","+e",true,1,"b","be","no"
3427,"bleid","bleide","+e",true,1,"d","de","no"
3435,"bléin","bléine","+e",true,1,"n","ne","no"
3441,"bliainiris","bliainirise","+e",true,3,"s","se","no"
3445,"bliantóg","bliantóige","palatalized alt + e",false,2,"óg","óige","no"
3459,"blíp","blípe","+e",true,1,"p","pe","no"
3473,"blocobair","blocoibre","palatalized alt syncope + e",true,3,"obair","oibre","no"
3475,"blocshliabh","blocsléibhe","exception",false,2,"shliabh","sléibhe","no"
3479,"blonag","blonaige","palatalized alt + e",false,2,"ag","aige","no"
3513,"bocóid","bocóide","+e",true,2,"d","de","no"
3534,"bodóg","bodóige","palatalized alt + e",false,2,"óg","óige","no"
3541,"bogadach","bogadaí","aí",false,3,"ach","aí","no"
3546,"bogarnach","bogarnaí","aí",false,3,"ach","aí","no"
3593,"boilg","boilge","+e",true,1,"g","ge","no"
3594,"boilgearnach","boilgearnaí","aí",false,3,"ach","aí","no"
3595,"boilgeog","boilgeoige","palatalized alt + e",false,2,"og","oige","no"
3598,"boilsc","boilsce","+e",true,1,"c","ce","no"
3609,"boireann","boirne","syncope + e",false,2,"reann","rne","yes"
3610,"boiric","boirice","+e",true,2,"c","ce","no"
3613,"boiseog","boiseoige","palatalized alt + e",false,2,"og","oige","no"
3627,"bolgach","bolgaí","aí",false,2,"ach","aí","no"
3631,"bolgchaint","bolgchainte","+e",true,2,"t","te","no"
3636,"bolgóid","bolgóide","+e",true,2,"d","de","no"
3644,"bollóg","bollóige","palatalized alt + e",false,2,"óg","óige","no"
3647,"bológ","bolóige","palatalized alt + e",false,2,"óg","óige","no"
3671,"bonnchéim","bonnchéime","+e",true,2,"m","me","no"
3677,"bonnleac","bonnleice","palatalized alt + e",false,2,"eac","eice","yes"
